                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.57093,                0.40163,                0.90328,                0.87818,                0.98718,                      1,                  0.995,                0.87464,                0.98718,                      1,                  0.995,                0.95877,                0.52207,                0.37063,                0.89014,                0.86192,               0.008416,               0.008416,               0.008416
                     50,                0.58526,                 0.4609,                 0.9433,                0.90209,                0.98718,                      1,                  0.995,                0.87464,                0.98718,                      1,                  0.995,                0.95877,                0.52207,                0.37063,                0.89014,                0.86192,               0.008383,               0.008383,               0.008383
                     51,                0.56537,                0.39578,                0.88925,                0.89537,                0.99293,                0.99949,                  0.995,                0.86347,                0.99293,                0.99949,                  0.995,                0.92197,                0.53551,                0.35487,                 0.9206,                0.85653,                0.00835,                0.00835,                0.00835
                     52,                0.59902,                0.44938,                0.90847,                0.88226,                0.99293,                0.99949,                  0.995,                0.86347,                0.99293,                0.99949,                  0.995,                0.92197,                0.53551,                0.35487,                 0.9206,                0.85653,               0.008317,               0.008317,               0.008317
                     53,                0.57967,                0.42497,                0.96027,                0.89855,                0.98751,                      1,                  0.995,                0.92463,                0.98751,                      1,                  0.995,                0.95964,                0.39963,                0.35703,                0.83555,                0.81799,               0.008284,               0.008284,               0.008284
                     54,                0.56989,                0.39449,                0.93105,                0.87539,                0.98751,                      1,                  0.995,                0.92463,                0.98751,                      1,                  0.995,                0.95964,                0.39963,                0.35703,                0.83555,                0.81799,               0.008251,               0.008251,               0.008251
                     55,                 0.5822,                0.38963,                0.90981,                0.90462,                0.99292,                      1,                  0.995,                0.84982,                0.99292,                      1,                  0.995,                 0.9166,                0.49162,                0.35999,                 0.8136,                 0.8416,               0.008218,               0.008218,               0.008218
                     56,                0.60356,                0.38671,                0.87718,                0.90287,                0.99292,                      1,                  0.995,                0.84982,                0.99292,                      1,                  0.995,                 0.9166,                0.49162,                0.35999,                 0.8136,                 0.8416,               0.008185,               0.008185,               0.008185
                     57,                0.58568,                 0.3878,                0.94025,                0.88998,                0.99161,                0.99848,                  0.995,                0.92821,                0.99161,                0.99848,                  0.995,                0.96147,                0.39368,                0.33577,                0.89553,                0.80948,               0.008152,               0.008152,               0.008152
                     58,                0.49453,                0.46775,                0.84388,                 0.8802,                0.99161,                0.99848,                  0.995,                0.92821,                0.99161,                0.99848,                  0.995,                0.96147,                0.39368,                0.33577,                0.89553,                0.80948,               0.008119,               0.008119,               0.008119
                     59,                0.53359,                0.42171,                0.84516,                0.88551,                0.99789,                      1,                  0.995,                0.87016,                0.99789,                      1,                  0.995,                0.92629,                0.43626,                0.33512,                0.81208,                0.82429,               0.008086,               0.008086,               0.008086
                     60,                0.58678,                0.42717,                0.85588,                0.86792,                0.99789,                      1,                  0.995,                0.87016,                0.99789,                      1,                  0.995,                0.92629,                0.43626,                0.33512,                0.81208,                0.82429,               0.008053,               0.008053,               0.008053
                     61,                0.54947,                0.41869,                0.81385,                0.90618,                0.99584,                      1,                  0.995,                0.92046,                0.99584,                      1,                  0.995,                0.97348,                 0.3992,                0.33518,                0.71509,                0.82034,                0.00802,                0.00802,                0.00802
                     62,                0.49539,                   0.39,                0.82281,                0.89395,                0.99584,                      1,                  0.995,                0.92046,                0.99584,                      1,                  0.995,                0.97348,                 0.3992,                0.33518,                0.71509,                0.82034,               0.007987,               0.007987,               0.007987
                     63,                0.51238,                0.39221,                0.79484,                0.87843,                0.99584,                      1,                  0.995,                0.92046,                0.99584,                      1,                  0.995,                0.97348,                 0.3992,                0.33518,                0.71509,                0.82034,               0.007954,               0.007954,               0.007954
                     64,                 0.5382,                0.43445,                0.81244,                0.89766,                0.99472,                      1,                  0.995,                0.89969,                0.99472,                      1,                  0.995,                0.95894,                0.41459,                0.34518,                0.73331,                0.81628,               0.007921,               0.007921,               0.007921
                     65,                0.55617,                0.41091,                0.85133,                0.90464,                0.99472,                      1,                  0.995,                0.89969,                0.99472,                      1,                  0.995,                0.95894,                0.41459,                0.34518,                0.73331,                0.81628,               0.007888,               0.007888,               0.007888
                     66,                0.53512,                0.40539,                0.79179,                0.87764,                0.99591,                      1,                  0.995,                 0.8815,                0.99591,                      1,                  0.995,                 0.9466,                0.48041,                0.35434,                 0.7829,                0.82953,               0.007855,               0.007855,               0.007855
                     67,                0.58262,                0.44462,                0.82062,                0.88555,                0.99591,                      1,                  0.995,                 0.8815,                0.99591,                      1,                  0.995,                 0.9466,                0.48041,                0.35434,                 0.7829,                0.82953,               0.007822,               0.007822,               0.007822
                     68,                0.52746,                0.44372,                 0.8184,                0.90145,                0.99813,                      1,                  0.995,                0.90422,                0.99813,                      1,                  0.995,                0.94477,                0.43376,                0.36809,                 0.7708,                0.83906,               0.007789,               0.007789,               0.007789
                     69,                0.50916,                0.42062,                 0.7667,                0.87039,                0.99813,                      1,                  0.995,                0.90422,                0.99813,                      1,                  0.995,                0.94477,                0.43376,                0.36809,                 0.7708,                0.83906,               0.007756,               0.007756,               0.007756
                     70,                0.50683,                0.45859,                0.76999,                0.88243,                0.99556,                      1,                  0.995,                0.93701,                0.99556,                      1,                  0.995,                 0.9671,                0.35915,                0.35082,                0.72944,                0.80774,               0.007723,               0.007723,               0.007723
                     71,                0.50712,                0.43304,                0.79498,                0.89094,                0.99556,                      1,                  0.995,                0.93701,                0.99556,                      1,                  0.995,                 0.9671,                0.35915,                0.35082,                0.72944,                0.80774,                0.00769,                0.00769,                0.00769
                     72,                0.49428,                0.46054,                0.79198,                0.89339,                0.99299,                      1,                  0.995,                0.90996,                0.99299,                      1,                  0.995,                0.94451,                0.42747,                0.35117,                0.73933,                0.82579,               0.007657,               0.007657,               0.007657
                     73,                  0.518,                0.44224,                0.73003,                0.85499,                0.99299,                      1,                  0.995,                0.90996,                0.99299,                      1,                  0.995,                0.94451,                0.42747,                0.35117,                0.73933,                0.82579,               0.007624,               0.007624,               0.007624
                     74,                 0.5371,                0.44577,                0.79571,                0.87874,                0.99644,                      1,                  0.995,                0.92709,                0.99644,                      1,                  0.995,                0.96417,                 0.3933,                0.34966,                0.73028,                0.81869,               0.007591,               0.007591,               0.007591
                     75,                0.49173,                0.45638,                0.78894,                0.88702,                0.99644,                      1,                  0.995,                0.92709,                0.99644,                      1,                  0.995,                0.96417,                 0.3933,                0.34966,                0.73028,                0.81869,               0.007558,               0.007558,               0.007558
                     76,                0.47235,                 0.3927,                0.73044,                0.87541,                0.99655,                      1,                  0.995,                0.89126,                0.99655,                      1,                  0.995,                 0.9569,                0.49403,                0.33726,                0.78019,                0.83731,               0.007525,               0.007525,               0.007525
                     77,                 0.5059,                0.37515,                0.74368,                 0.8857,                0.99655,                      1,                  0.995,                0.89126,                0.99655,                      1,                  0.995,                 0.9569,                0.49403,                0.33726,                0.78019,                0.83731,               0.007492,               0.007492,               0.007492
                     78,                0.52827,                0.41183,                 0.7737,                0.89807,                0.99672,                      1,                  0.995,                0.93347,                0.99672,                      1,                  0.995,                0.95953,                0.37227,                0.33242,                0.70338,                0.81391,               0.007459,               0.007459,               0.007459
                     79,                0.50593,                0.40622,                0.72881,                0.86912,                0.99672,                      1,                  0.995,                0.93347,                0.99672,                      1,                  0.995,                0.95953,                0.37227,                0.33242,                0.70338,                0.81391,               0.007426,               0.007426,               0.007426
                     80,                 0.5193,                0.42493,                0.77584,                0.88535,                0.99655,                      1,                  0.995,                0.92626,                0.99655,                      1,                  0.995,                0.97799,                0.38555,                0.32714,                0.71591,                0.81801,               0.007393,               0.007393,               0.007393
                     81,                0.53928,                0.38627,                0.83938,                0.89902,                0.99655,                      1,                  0.995,                0.92626,                0.99655,                      1,                  0.995,                0.97799,                0.38555,                0.32714,                0.71591,                0.81801,                0.00736,                0.00736,                0.00736
                     82,                0.46539,                0.34967,                0.71261,                 0.8592,                0.99573,                      1,                  0.995,                0.93888,                0.99573,                      1,                  0.995,                0.98244,                0.31863,                0.32569,                 0.6714,                0.80536,               0.007327,               0.007327,               0.007327
                     83,                0.52478,                0.39914,                0.73148,                0.89973,                0.99573,                      1,                  0.995,                0.93888,                0.99573,                      1,                  0.995,                0.98244,                0.31863,                0.32569,                 0.6714,                0.80536,               0.007294,               0.007294,               0.007294
                     84,                0.51711,                0.39508,                0.72704,                0.90348,                0.99573,                      1,                  0.995,                0.93888,                0.99573,                      1,                  0.995,                0.98244,                0.31863,                0.32569,                 0.6714,                0.80536,               0.007261,               0.007261,               0.007261
                     85,                0.50516,                0.45206,                0.76046,                0.88119,                0.99498,                      1,                  0.995,                0.91094,                0.99498,                      1,                  0.995,                0.95518,                 0.4024,                0.34972,                 0.7346,                0.82225,               0.007228,               0.007228,               0.007228
                     86,                0.50496,                0.42308,                  0.698,                0.87892,                0.99498,                      1,                  0.995,                0.91094,                0.99498,                      1,                  0.995,                0.95518,                 0.4024,                0.34972,                 0.7346,                0.82225,               0.007195,               0.007195,               0.007195
                     87,                0.51591,                0.51075,                0.74183,                0.88769,                0.99465,                      1,                  0.995,                0.91994,                0.99465,                      1,                  0.995,                 0.9459,                0.40357,                0.38546,                0.72024,                0.82381,               0.007162,               0.007162,               0.007162
                     88,                   0.53,                0.50371,                0.77299,                0.89808,                0.99465,                      1,                  0.995,                0.91994,                0.99465,                      1,                  0.995,                 0.9459,                0.40357,                0.38546,                0.72024,                0.82381,               0.007129,               0.007129,               0.007129
                     89,                0.49696,                0.40059,                0.69285,                0.89016,                0.99519,                      1,                  0.995,                0.92042,                0.99519,                      1,                  0.995,                0.96565,                0.40542,                0.32999,                0.67872,                0.82555,               0.007096,               0.007096,               0.007096
                     90,                0.52616,                0.41153,                0.73518,                0.88697,                0.99519,                      1,                  0.995,                0.92042,                0.99519,                      1,                  0.995,                0.96565,                0.40542,                0.32999,                0.67872,                0.82555,               0.007063,               0.007063,               0.007063
                     91,                0.49558,                0.37359,                0.71727,                0.90069,                0.99546,                      1,                  0.995,                 0.9221,                0.99546,                      1,                  0.995,                0.96084,                0.38679,                0.32287,                0.65027,                0.81849,                0.00703,                0.00703,                0.00703
                     92,                0.49913,                0.47249,                0.70092,                0.89105,                0.99546,                      1,                  0.995,                 0.9221,                0.99546,                      1,                  0.995,                0.96084,                0.38679,                0.32287,                0.65027,                0.81849,               0.006997,               0.006997,               0.006997
                     93,                0.47501,                0.40587,                0.80454,                0.90418,                0.99448,                      1,                  0.995,                0.96542,                0.99448,                      1,                  0.995,                0.97548,                0.32166,                 0.3199,                0.67926,                 0.8055,               0.006964,               0.006964,               0.006964
                     94,                0.47161,                0.40736,                0.73024,                 0.8726,                0.99448,                      1,                  0.995,                0.96542,                0.99448,                      1,                  0.995,                0.97548,                0.32166,                 0.3199,                0.67926,                 0.8055,               0.006931,               0.006931,               0.006931
                     95,                0.46558,                0.38895,                0.69742,                0.86526,                0.99704,                      1,                  0.995,                0.94893,                0.99704,                      1,                  0.995,                0.97812,                0.33841,                0.31325,                0.61034,                0.81737,               0.006898,               0.006898,               0.006898
                     96,                0.47254,                0.44378,                0.72007,                0.87132,                0.99704,                      1,                  0.995,                0.94893,                0.99704,                      1,                  0.995,                0.97812,                0.33841,                0.31325,                0.61034,                0.81737,               0.006865,               0.006865,               0.006865
                     97,                0.43276,                 0.3678,                0.71024,                0.88439,                0.99807,                      1,                  0.995,                0.92994,                0.99807,                      1,                  0.995,                0.98813,                0.33539,                 0.3079,                0.60059,                0.81813,               0.006832,               0.006832,               0.006832
                     98,                0.43369,                0.36025,                0.67694,                0.86357,                0.99807,                      1,                  0.995,                0.92994,                0.99807,                      1,                  0.995,                0.98813,                0.33539,                 0.3079,                0.60059,                0.81813,               0.006799,               0.006799,               0.006799
                     99,                 0.4383,                0.39389,                0.70302,                0.87862,                0.99766,                      1,                  0.995,                0.93035,                0.99766,                      1,                  0.995,                0.98027,                0.33003,                0.30788,                0.60662,                0.80993,               0.006766,               0.006766,               0.006766
                    100,                0.45648,                0.40159,                0.70329,                0.86974,                0.99766,                      1,                  0.995,                0.93035,                0.99766,                      1,                  0.995,                0.98027,                0.33003,                0.30788,                0.60662,                0.80993,               0.006733,               0.006733,               0.006733
                    101,                0.46364,                 0.3969,                0.72389,                0.87235,                0.99708,                      1,                  0.995,                0.95693,                0.99708,                      1,                  0.995,                0.98119,                0.31865,                0.30628,                0.60835,                 0.8079,                 0.0067,                 0.0067,                 0.0067
                    102,                0.45732,                0.44123,                0.70918,                0.87971,                0.99708,                      1,                  0.995,                0.95693,                0.99708,                      1,                  0.995,                0.98119,                0.31865,                0.30628,                0.60835,                 0.8079,               0.006667,               0.006667,               0.006667
                    103,                0.42158,                0.36928,                0.64835,                0.85126,                0.99689,                      1,                  0.995,                0.94162,                0.99689,                      1,                  0.995,                 0.9826,                0.34579,                0.30389,                 0.6091,                0.81143,               0.006634,               0.006634,               0.006634
                    104,                0.47609,                 0.3845,                0.69292,                0.86967,                0.99689,                      1,                  0.995,                0.94162,                0.99689,                      1,                  0.995,                 0.9826,                0.34579,                0.30389,                 0.6091,                0.81143,               0.006601,               0.006601,               0.006601
                    105,                0.47255,                0.37671,                0.67483,                0.87035,                0.99689,                      1,                  0.995,                0.94162,                0.99689,                      1,                  0.995,                 0.9826,                0.34579,                0.30389,                 0.6091,                0.81143,               0.006568,               0.006568,               0.006568
                    106,                0.46585,                0.39431,                0.66117,                0.86069,                0.99739,                      1,                  0.995,                0.95357,                0.99739,                      1,                  0.995,                0.97893,                0.35252,                0.31734,                0.58035,                0.81645,               0.006535,               0.006535,               0.006535
                    107,                0.46249,                0.40063,                0.67563,                0.86978,                0.99739,                      1,                  0.995,                0.95357,                0.99739,                      1,                  0.995,                0.97893,                0.35252,                0.31734,                0.58035,                0.81645,               0.006502,               0.006502,               0.006502
                    108,                0.44921,                0.41513,                0.66775,                0.88167,                 0.9969,                      1,                  0.995,                0.94636,                 0.9969,                      1,                  0.995,                0.96736,                0.38383,                0.34914,                0.61105,                0.82575,               0.006469,               0.006469,               0.006469
                    109,                0.44903,                0.43354,                0.65068,                0.86825,                 0.9969,                      1,                  0.995,                0.94636,                 0.9969,                      1,                  0.995,                0.96736,                0.38383,                0.34914,                0.61105,                0.82575,               0.006436,               0.006436,               0.006436
                    110,                0.46494,                0.42328,                0.67069,                0.86799,                0.99387,                0.99942,                  0.995,                0.92873,                0.99387,                0.99942,                  0.995,                0.96748,                0.38827,                0.33837,                0.62649,                0.82356,               0.006403,               0.006403,               0.006403
                    111,                0.48539,                0.40502,                0.72629,                0.88333,                0.99387,                0.99942,                  0.995,                0.92873,                0.99387,                0.99942,                  0.995,                0.96748,                0.38827,                0.33837,                0.62649,                0.82356,                0.00637,                0.00637,                0.00637
                    112,                0.48002,                0.42523,                0.70674,                0.88057,                0.99753,                      1,                  0.995,                0.93984,                0.99753,                      1,                  0.995,                0.97991,                0.33073,                0.32101,                0.63045,                0.80809,               0.006337,               0.006337,               0.006337
                    113,                0.43353,                0.36599,                0.67811,                  0.866,                0.99753,                      1,                  0.995,                0.93984,                0.99753,                      1,                  0.995,                0.97991,                0.33073,                0.32101,                0.63045,                0.80809,               0.006304,               0.006304,               0.006304
